,City Name,Cloud density,Lat,Lng,Country,Date,Humidity,Max Tempture,Wind Speed
0,bethel,1,41.37,-73.41,US,1595306809,83,73.0,3.36
1,ushuaia,0,-54.8,-68.3,AR,1595306583,85,25.95,3.6
2,monrovia,100,6.3,-10.8,LR,1595306809,88,76.3,11.88
3,port alfred,1,-33.59,26.89,ZA,1595306809,62,58.89,8.21
4,anamur,20,36.08,32.84,TR,1595306809,88,73.4,1.12
5,upernavik,67,72.79,-56.15,GL,1595306810,58,46.69,5.48
6,busselton,88,-33.65,115.33,AU,1595306654,39,66.99,19.15
7,belogorsk,0,50.92,128.46,RU,1595306810,41,78.21,12.08
8,hobart,75,-42.88,147.33,AU,1595306629,47,57.2,11.41
9,matay,0,28.42,30.78,EG,1595306810,62,76.17,14.88
10,kindu,9,-2.95,25.95,CD,1595306810,68,68.32,0.92
11,guaruja,0,-23.99,-46.26,BR,1595306810,63,64.0,1.12
12,deputatskiy,68,69.3,139.9,RU,1595306811,43,81.46,11.05
13,ongandjera,0,-17.88,15.07,NA,1595306811,53,51.37,8.63
14,kodiak,1,57.79,-152.41,US,1595306811,46,73.4,6.93
15,tura,100,25.52,90.22,IN,1595306811,98,75.38,5.39
16,dikson,100,73.51,80.55,RU,1595306811,95,39.76,12.46
17,destin,1,30.39,-86.5,US,1595306791,83,84.2,3.36
18,barrow,90,71.29,-156.79,US,1595306812,86,33.8,9.17
19,boyuibe,51,-20.42,-63.28,BO,1595306812,82,65.82,5.7
20,smolenskoye,2,52.3,85.08,RU,1595306812,56,79.61,3.98
21,ballina,100,-28.87,153.57,AU,1595306812,55,66.2,14.99
22,hami,100,42.8,93.45,CN,1595306812,18,92.73,7.52
23,vung tau,82,10.35,107.08,VN,1595306812,65,86.13,6.85
24,miramar,20,25.99,-80.23,US,1595306812,78,84.2,9.17
25,manokwari,100,-0.87,134.08,ID,1595306812,71,82.87,1.68
26,iqaluit,90,63.75,-68.51,CA,1595306812,100,46.4,10.29
27,tiksi,95,71.69,128.87,RU,1595306813,79,52.66,9.95
28,cherskiy,82,68.75,161.3,RU,1595306813,26,78.17,6.06
29,nipawin,1,53.37,-104.0,CA,1595306813,100,57.2,4.7
30,nokaneng,0,-19.67,22.27,BW,1595306813,62,45.07,6.06
31,susangerd,75,31.56,48.18,IR,1595306813,28,95.0,2.24
32,adrar,60,20.5,-10.07,MR,1595306814,30,90.27,4.81
33,wanning,20,18.8,110.4,CN,1595306814,63,89.13,9.82
34,meulaboh,98,4.14,96.13,ID,1595306814,73,84.13,5.37
35,necochea,100,-38.55,-58.74,AR,1595306814,92,51.01,8.99
36,nome,75,64.5,-165.41,US,1595306722,81,55.99,16.11
37,ust-maya,95,60.42,134.53,RU,1595306814,44,75.36,16.22
38,tasiilaq,97,65.61,-37.64,GL,1595306814,87,42.8,4.7
39,port blair,100,11.67,92.75,IN,1595306638,65,86.22,3.22
40,umm lajj,56,25.02,37.27,SA,1595306815,48,89.78,4.65
41,vaini,20,-21.2,-175.2,TO,1595306815,69,73.4,6.93
42,west bay,79,19.37,-81.42,KY,1595306815,85,82.0,1.01
